epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
86,412.838,2.08467,1.67773,1.43949,0.43747,0.38167,0.38062,0.16597,2.11068,1.68528,1.49584,0.000317,0.000317,0.000317
87,416.997,2.06339,1.7066,1.43724,0.41598,0.38786,0.37779,0.16685,2.09506,1.68552,1.49294,0.0002972,0.0002972,0.0002972
88,421.32,2.07803,1.66026,1.42869,0.44481,0.41689,0.39368,0.17181,2.09177,1.68496,1.48948,0.0002774,0.0002774,0.0002774
89,426.041,2.06773,1.68659,1.44381,0.47108,0.40106,0.41341,0.18488,2.07673,1.6918,1.49231,0.0002576,0.0002576,0.0002576
90,430.46,2.1068,1.65679,1.44288,0.46845,0.40369,0.41818,0.19308,2.06074,1.66979,1.49565,0.0002378,0.0002378,0.0002378
91,455.297,2.24952,1.99683,1.53837,0.46264,0.40633,0.41612,0.19369,2.08959,1.68297,1.50097,0.000218,0.000218,0.000218
92,462.103,2.15626,1.85868,1.49485,0.47631,0.40106,0.41532,0.19257,2.11898,1.70473,1.5097,0.0001982,0.0001982,0.0001982
93,467.479,2.15789,1.82907,1.49583,0.46114,0.40897,0.41377,0.19507,2.09692,1.7073,1.51596,0.0001784,0.0001784,0.0001784
94,472.641,2.13682,1.81506,1.49725,0.47167,0.40369,0.41482,0.19662,2.05544,1.70756,1.50255,0.0001586,0.0001586,0.0001586
95,477.855,2.12723,1.78824,1.49638,0.48266,0.40369,0.42345,0.19861,2.04368,1.71306,1.4958,0.0001388,0.0001388,0.0001388
96,481.564,2.05904,1.7573,1.45465,0.47903,0.40633,0.42589,0.2025,2.04449,1.71351,1.49456,0.000119,0.000119,0.000119
97,485.563,2.10569,1.75589,1.46632,0.47467,0.39842,0.42588,0.20313,2.03911,1.72423,1.48449,9.92e-05,9.92e-05,9.92e-05
98,489.561,2.10487,1.75546,1.47839,0.47855,0.40369,0.43598,0.20357,2.03967,1.72807,1.48376,7.94e-05,7.94e-05,7.94e-05
99,493.502,2.05016,1.71802,1.44285,0.48112,0.40633,0.43099,0.20304,2.04813,1.73499,1.48376,5.96e-05,5.96e-05,5.96e-05
100,497.358,2.1034,1.7591,1.49825,0.50016,0.3905,0.43371,0.20124,2.05231,1.73653,1.48401,3.98e-05,3.98e-05,3.98e-05
